,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Leadership_position_2.0,Leadership_position_3.0,Job_satisfaction,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
54,18,Current_position_4.0,0.068666604,-0.005036957,-0.018561628,-0.020375925,0.01870058,0.041252481,0.003905975,0.017957797,-0.001093997,0.004913203,-0.046643179,0.064108993,0.029302605,0.056034969,0.034061784,0.06632331,501,579,31368.85361,0,37197.91659,0.157051697,0.156704018,0.025412428,0.156704018,0.025814236,0.309548616,90.58119998,510.5448802,48.70940001
55,18,Current_position_5.0,0.285725288,-0.016236398,-0.028261982,-0.045907006,0.01854429,0.155051856,0.000681623,0.036595952,0.0057017,0.00623983,-0.056423506,0.141898696,0.05223572,0.143033848,0.060783282,0.106016754,501,579,31368.85361,0,37197.91659,0.157051697,0.156704018,0.025412428,0.156704018,0.025814236,0.309548616,90.58119998,510.5448802,48.70940001
56,18,Current_position_6.0,0.438701762,-0.017449609,-0.039934362,-0.071828532,0.022832044,0.204248648,-0.000491408,0.088543882,0.082953493,-0.005969793,0.027882728,0.110955529,0.052235256,0.207311719,0.06795625,0.072063543,501,579,31368.85361,0,37197.91659,0.157051697,0.156704018,0.025412428,0.156704018,0.025814236,0.309548616,90.58119998,510.5448802,48.70940001
57,19,Current_position_4.0,-0.035684969,0.028592839,-0.000572522,-0.05770128,0.069064769,0.033083875,0.002286407,0.018984362,0.001386119,-0.006577853,0.087576365,0.129024508,0.014538062,0.07323193,0.044730707,-0.062771585,501,579,30736.04073,0,37009.83024,0.170069951,0.169516841,0.040220062,0.169516841,0.040859285,0.306359202,92.54645735,512.5101376,47.72677133
58,19,Current_position_5.0,-0.105365847,0.080688109,-0.000505062,-0.116819351,0.112327518,0.181214857,-0.016493686,0.014701171,0.003201284,-0.097745303,0.051528315,0.233211279,0.014592517,0.106374828,0.112359825,-0.116275644,501,579,30736.04073,0,37009.83024,0.170069951,0.169516841,0.040220062,0.169516841,0.040859285,0.306359202,92.54645735,512.5101376,47.72677133
59,19,Current_position_6.0,-0.131053234,0.083290846,-0.000261742,-0.158226537,0.085785349,0.28179405,-0.019970859,0.036736048,0.018234148,-0.122242228,0.113978866,0.159476634,0.020483084,0.197760562,0.088950984,-0.187554173,501,579,30736.04073,0,37009.83024,0.170069951,0.169516841,0.040220062,0.169516841,0.040859285,0.306359202,92.54645735,512.5101376,47.72677133
60,20,Current_position_4.0,0.066625304,-0.011087515,-0.003394563,-0.063953971,0.037993253,0.058013341,0.006943677,0.035174548,0.035071284,0.022921703,0.029222172,0.054246289,0.004223776,0.032265241,0.035395393,-0.166623111,501,579,30038.78448,0,36204.10978,0.170871763,0.17029352,0.041117661,0.17029352,0.041785929,0.302806093,94.71184943,514.6755297,46.64407528
61,20,Current_position_5.0,0.187356122,-0.027344399,-0.001767426,-0.14086822,0.049909675,0.159468915,-0.051739539,0.037391147,0.000625485,-0.041740724,-0.045280256,0.168956285,0.006566606,0.10804729,0.073371836,-0.238104733,501,579,30038.78448,0,36204.10978,0.170871763,0.17029352,0.041117661,0.17029352,0.041785929,0.302806093,94.71184943,514.6755297,46.64407528
62,20,Current_position_6.0,0.280817693,-0.040557659,-0.001225231,-0.228647966,0.055100471,0.249303662,-0.056362908,0.130173285,0.14699112,0.026212789,0.108277648,0.156696012,-4.37E-07,0.293486701,0.04851214,-0.380607213,501,579,30038.78448,0,36204.10978,0.170871763,0.17029352,0.041117661,0.17029352,0.041785929,0.302806093,94.71184943,514.6755297,46.64407528
63,21,Current_position_4.0,0.089634493,0.001398206,-0.015273007,-0.044518907,0.011185825,0.016975713,0.004937571,0.059726542,-0.004827005,0.01259324,-0.02818427,0.063925462,-0.02035346,0.056225053,0.000768345,-0.065703126,501,579,30547.92696,0,36656.31008,0.167151683,0.166639334,0.03689456,0.166639334,0.037486676,0.305404675,93.13066161,513.0943419,47.4346692
