,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Leadership_position_2.0,Leadership_position_3.0,Job_satisfaction,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
33,11,Current_position_4.0,0.072446039,0.00272069,0.004148316,0.004655169,0.002460919,0.000827636,0.024717093,0.010350377,-0.001584069,0.001216435,-0.003336746,0.001987104,-0.002762171,0.00150175,-0.002465125,0.011280773,111,174,2180.342933,0,4041.783545,0.464979643,0.460549307,0.15437459,0.460549307,0.16131944,0.170274361,151.2287487,504.176948,3.385625673
34,11,Current_position_5.0,0.206026078,0.005508479,0.00251327,0.008876206,0.005306724,0.011321403,0.000974385,-0.003246015,0.054174441,0.000338858,-0.000170053,0.004310675,-0.002924528,0.003568677,-0.003455613,0.173890623,111,174,2180.342933,0,4041.783545,0.464979643,0.460549307,0.15437459,0.460549307,0.16131944,0.170274361,151.2287487,504.176948,3.385625673
35,11,Current_position_6.0,0.315190684,0.006870346,0.003114309,0.01040433,0.012580609,0.021822599,-0.008646543,0.181229333,0.118561121,-0.000968788,0.00696276,0.003775567,-0.005325214,0.004185571,-0.003074093,0.155788915,111,174,2180.342933,0,4041.783545,0.464979643,0.460549307,0.15437459,0.460549307,0.16131944,0.170274361,151.2287487,504.176948,3.385625673
36,12,Current_position_4.0,0.072965896,-0.001799543,-0.003761532,0.009770785,0.006692385,-2.40E-05,0.014764627,0.048697269,0.061475489,0.009687422,0.01948798,0.001810158,0.004382355,-0.010178811,-0.003652812,-0.105162257,111,174,2028.910378,0,3915.382248,0.487379196,0.481810396,0.187702783,0.481810396,0.196432253,0.16392575,151.6990361,504.6472355,3.150481953
37,12,Current_position_5.0,0.215792603,-0.006276743,-0.003849016,0.01591562,0.015165228,0.004392318,-0.0004578,0.10046234,0.080637296,0.010465583,0.012773385,0.004082629,0.003129454,-0.019935611,-0.005412169,0.000484837,111,174,2028.910378,0,3915.382248,0.487379196,0.481810396,0.187702783,0.481810396,0.196432253,0.16392575,151.6990361,504.6472355,3.150481953
38,12,Current_position_6.0,0.311991569,-0.006783155,0.001315549,0.01810901,0.021090091,0.008324477,-0.017219767,0.224822904,0.189437472,0.01513689,0.0252296,0.002457311,0.005610141,-0.020375718,-0.010045343,0.099641935,111,174,2028.910378,0,3915.382248,0.487379196,0.481810396,0.187702783,0.481810396,0.196432253,0.16392575,151.6990361,504.6472355,3.150481953
39,13,Current_position_4.0,0.115627563,-0.007492788,0.003057618,0.01648531,0.001732276,0.003112663,-0.000428986,0.171737907,0.04164204,0.031885181,-0.002461054,-0.009670383,-0.002742259,-0.012294957,-0.003110955,-0.08512893,111,174,2104.329025,0,3864.976644,0.45994537,0.455539006,0.146520604,0.455539006,0.153427878,0.167117727,151.4648167,504.4130161,3.267591654
40,13,Current_position_5.0,0.252058001,0.015420759,0.004726972,0.032791741,0.009264119,0.009034054,-0.007647073,0.176587129,0.047263247,0.039791571,-0.001681117,-0.034846947,-0.003869917,-0.022236899,-0.002372165,-0.073761414,111,174,2104.329025,0,3864.976644,0.45994537,0.455539006,0.146520604,0.455539006,0.153427878,0.167117727,151.4648167,504.4130161,3.267591654
41,13,Current_position_6.0,0.37870829,5.59E-05,0.000711561,0.040909275,0.027397828,0.01416166,-0.016327737,0.379013564,0.143963926,0.052800935,0.022051147,-0.025673527,-0.004355352,-0.026143844,-0.004437304,0.168036558,111,174,2104.329025,0,3864.976644,0.45994537,0.455539006,0.146520604,0.455539006,0.153427878,0.167117727,151.4648167,504.4130161,3.267591654
42,14,Current_position_4.0,0.114946764,0.007186291,0.006535716,-0.003981862,0.001533256,-0.003582309,0.028495322,0.033879126,-0.020610253,-0.020568464,-0.006662203,-0.0068594,0.003857644,0.004718254,-0.004130497,0.021514745,111,174,1885.580254,0,3554.089773,0.474990201,0.469461839,0.168345585,0.469461839,0.177011666,0.157681538,152.1441607,505.0923601,2.927919649
43,14,Current_position_5.0,0.275520214,0.014410034,0.008656397,-0.006722121,0.00164949,0.01536929,0.018123976,-0.017867205,-0.060594044,-0.042589005,-0.023576831,-0.014370762,0.008049866,0.009896241,-0.009509071,0.070949025,111,174,1885.580254,0,3554.089773,0.474990201,0.469461839,0.168345585,0.469461839,0.177011666,0.157681538,152.1441607,505.0923601,2.927919649
44,14,Current_position_6.0,0.427651476,0.01154051,0.005931142,-0.009990362,0.00171393,0.035084085,-0.006794839,0.182042336,0.160634248,-0.01372154,0.02796029,-0.012987712,0.008049884,0.013663925,-0.004847313,0.136014258,111,174,1885.580254,0,3554.089773,0.474990201,0.469461839,0.168345585,0.469461839,0.177011666,0.157681538,152.1441607,505.0923601,2.927919649
45,15,Current_position_4.0,0.07693488,0.014405246,0.02398512,0.00837376,0.022754,0.001115818,0.003845295,0.006334739,0.006387731,-0.022537325,0.002860711,0.009742228,-0.000325611,0.009460419,0.006881478,-0.125158176,111,174,2135.473654,0,3897.940167,0.456362465,0.452153301,0.141213282,0.452153301,0.147811431,0.168418226,151.3680942,504.3162936,3.31595288
46,15,Current_position_5.0,0.213182506,0.031981013,0.019782736,0.016779839,0.028612896,0.011235896,-0.008100254,0.083780255,0.028649263,-0.013348261,-0.007665269,0.019525161,-0.001153999,0.023152522,0.011723198,-0.101830116,111,174,2135.473654,0,3897.940167,0.456362465,0.452153301,0.141213282,0.452153301,0.147811431,0.168418226,151.3680942,504.3162936,3.31595288
