,Age,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Job_satisfaction
551,44.0,3.0,17.307692307692307,70.0,175.0,1.0,14.285714285714285,14.285714285714285,2.3333333333333335,1.0,1.4
552,31.0,3.0,28.269230769230766,40.0,100.0,2.0,10.256410256410255,25.64102564102564,4.0,3.8333333333333335,3.8
553,56.0,3.0,28.846153846153847,47.5,118.75,2.0,34.090909090909086,34.090909090909086,3.3333333333333335,2.0,2.8
554,36.0,3.0,37.01538461538461,50.0,125.0,2.0,20.0,60.0,4.166666666666667,4.333333333333333,3.2
555,34.0,3.0,28.846153846153847,44.0,110.0,1.0,2.272727272727273,86.36363636363636,3.0,2.1666666666666665,2.8
556,37.0,3.0,31.35,40.0,100.0,3.0,0.0,50.0,4.166666666666667,4.666666666666667,4.0
557,34.0,3.0,28.846153846153847,50.0,125.0,2.0,20.0,60.0,3.3333333333333335,3.6666666666666665,2.0
558,52.0,3.0,31.788461538461537,40.0,100.0,2.0,25.0,50.0,3.1666666666666665,3.8333333333333335,4.0
559,37.0,3.0,25.961538461538463,40.0,100.0,1.0,40.0,10.0,1.6666666666666667,1.6666666666666667,2.6
560,36.0,3.0,23.076923076923077,20.0,100.0,1.0,0.0,90.0,3.8333333333333335,3.6666666666666665,4.2
561,29.0,3.0,25.961538461538463,48.0,120.0,2.0,16.666666666666664,41.66666666666667,2.1666666666666665,2.6666666666666665,3.0
562,39.0,3.0,24.35897435897436,27.0,100.0,2.0,0.0,18.51851851851852,4.166666666666667,2.8333333333333335,3.6
563,33.0,3.0,28.846153846153847,40.0,100.0,1.0,37.5,55.00000000000001,4.166666666666667,3.6666666666666665,4.0
564,38.0,3.0,30.76923076923077,30.0,100.0,1.0,73.33333333333333,10.0,4.5,3.8333333333333335,3.4
565,41.0,3.0,25.384615384615383,30.0,100.0,3.0,0.0,16.666666666666664,2.5,3.3333333333333335,4.4
566,52.0,3.0,36.92307692307692,48.0,120.0,1.0,25.0,20.833333333333336,4.666666666666667,3.8333333333333335,3.6
567,36.0,3.0,18.842307692307692,25.0,125.0,3.0,78.43137254901961,11.76470588235294,2.5,2.8333333333333335,2.6
568,39.0,3.0,23.076923076923077,46.0,115.0,2.0,26.08695652173913,30.434782608695656,2.8333333333333335,2.6666666666666665,2.4
569,35.0,3.0,28.846153846153847,40.0,100.0,1.0,40.0,40.0,3.8333333333333335,2.8333333333333335,3.6
570,30.0,3.0,28.846153846153847,40.0,100.0,1.0,12.5,85.0,3.6666666666666665,4.333333333333333,4.2
571,35.0,3.0,46.15384615384615,55.0,137.5,3.0,26.666666666666668,26.666666666666668,2.6666666666666665,3.0,3.4
572,40.0,3.0,21.346153846153847,40.0,100.0,4.0,7.5,50.0,4.0,4.166666666666667,3.4
573,39.0,3.0,28.846153846153847,47.0,117.5,2.0,6.382978723404255,29.78723404255319,2.5,2.6666666666666665,2.4
574,45.0,3.0,28.846153846153847,50.0,125.0,2.0,12.5,12.5,3.210144927536232,3.3333333333333335,2.6
575,33.0,3.0,28.846153846153847,45.0,112.5,2.0,17.77777777777778,60.0,3.5,3.1666666666666665,3.2
576,46.0,3.0,28.846153846153847,45.0,112.5,2.0,55.55555555555556,17.77777777777778,3.0,3.0,3.0
577,38.0,3.0,25.10192307692308,50.0,125.0,2.0,20.0,40.0,4.666666666666667,4.333333333333333,4.4
578,29.0,3.0,18.90576923076923,40.0,100.0,3.0,7.5,82.5,4.833333333333333,4.0,4.8
579,29.0,3.0,25.107115384615383,55.0,137.5,3.0,40.0,40.0,3.3333333333333335,3.1666666666666665,4.2
580,39.0,3.0,25.054945054945055,31.0,110.71428571428572,1.0,0.0,87.09677419354838,3.5,3.3333333333333335,3.0
581,33.0,3.0,29.290384615384614,43.0,107.5,1.0,2.272727272727273,75.0,4.0,4.0,3.4
582,33.0,3.0,28.846153846153847,70.0,175.0,2.0,28.57142857142857,57.14285714285714,2.8333333333333335,3.5,3.4
583,40.0,3.0,33.46153846153847,60.0,150.0,1.0,8.333333333333332,33.33333333333333,3.3333333333333335,2.3333333333333335,2.8
584,36.0,3.0,42.69230769230769,50.0,125.0,2.0,22.22222222222222,44.44444444444444,3.5,3.3333333333333335,4.0
585,33.0,3.0,25.096153846153847,40.0,100.0,2.0,12.5,50.0,3.0,3.1666666666666665,3.8
586,57.0,3.0,23.92820512820513,50.0,111.11111111111111,3.0,30.612244897959183,51.02040816326531,3.5,3.8333333333333335,4.0
587,33.0,3.0,28.846153846153847,40.0,100.0,1.0,50.0,12.5,3.3333333333333335,2.5,2.2
588,34.0,3.0,27.3,40.0,133.33333333333331,3.0,40.0,40.0,4.0,3.8333333333333335,3.4
589,49.0,3.0,27.69230769230769,40.0,100.0,2.0,17.073170731707318,73.17073170731707,3.8333333333333335,4.666666666666667,3.4
590,39.0,3.0,27.115384615384613,47.5,118.75,2.0,7.246376811594203,65.21739130434783,4.0,4.666666666666667,3.6
591,31.0,3.0,20.0,30.0,100.0,1.0,33.33333333333333,33.33333333333333,4.833333333333333,3.6666666666666665,3.8
592,34.0,3.0,28.846153846153847,40.0,100.0,1.0,25.0,25.0,2.8333333333333335,4.166666666666667,3.0
593,39.0,3.0,28.846153846153847,50.0,125.0,3.0,28.15980063857955,52.79962619733666,3.3333333333333335,3.0,3.8
594,32.0,3.0,27.115384615384613,55.0,137.5,1.0,21.818181818181817,52.72727272727272,2.8333333333333335,2.1666666666666665,3.2
595,30.0,3.0,14.134615384615383,45.0,112.5,1.0,0.0,75.0,3.6666666666666665,3.0,3.0
596,39.0,3.0,18.0,30.0,120.0,2.0,0.0,83.33333333333334,3.5,3.5,2.8
597,43.0,3.0,28.846153846153847,40.0,100.0,1.0,20.0,40.0,3.5,1.9281609195402298,2.4
598,34.0,3.0,26.538461538461537,26.0,130.0,1.0,25.0,25.0,3.6666666666666665,2.3333333333333335,3.2
599,32.0,3.0,24.807692307692307,50.0,125.0,2.0,20.0,10.0,3.5,1.8333333333333333,3.0
600,30.0,3.0,38.46153846153846,40.0,133.33333333333331,4.0,33.33333333333333,33.33333333333333,2.6666666666666665,4.333333333333333,3.8
601,35.0,3.0,27.115384615384613,55.0,137.5,2.0,18.181818181818183,63.63636363636363,3.8333333333333335,2.8333333333333335,2.8
602,40.0,3.0,28.125,15.0,46.875,1.0,0.0,33.33333333333333,3.3333333333333335,2.3333333333333335,2.0
603,30.0,3.0,23.653846153846153,50.0,125.0,2.0,30.0,50.0,3.1666666666666665,4.0,3.6
